Engagement,Naration,audioCongruency,visualCongruency,channelId,videoId,Followers,videoAge,videoLength,sceneNumber,averageSceneLength,humanPresence,faceSum,Gender,Smile,motionMagnitude,motionDirection,Saturation,Brightness,Arousal,Valence,Pitch,titleSentiment,titleTechnicality,descriptionSentiment,descriptionTechnicality,hashtagsDescription,URLDescription,scriptSentiment,scriptTechnicality
,,,,UCd6MoB9NC6uYN2grvUNT-Zg,0nJG5axbhk4,815000,20,198,30,6.57,1.0,0.731,0.5,0.0,0.0,0.0,0.266,0.389,0.007,0.721,0.916,0.649,0.555,0.423,0.383,0.3,0.667,0.385,0.281
,,,,UCd6MoB9NC6uYN2grvUNT-Zg,9NfWmOrSsmI,815000,21,33,2,16.2,0.0,,,,,,0.146,0.945,0.005,0.701,1.0,0.496,0.251,0.276,0.368,0.0,0.067,0.394,0.346
