videoId,video_url
JwWiUNUyjLE,https://www.youtube.com/watch?v=JwWiUNUyjLE
IJUACC67KW0,https://www.youtube.com/watch?v=IJUACC67KW0
t2-cz5OTl-0,https://www.youtube.com/watch?v=t2-cz5OTl-0
Nc3oTP2eK30,https://www.youtube.com/watch?v=Nc3oTP2eK30
Skx4jxzpyIs,https://www.youtube.com/watch?v=Skx4jxzpyIs
KQmpB5USQOk,https://www.youtube.com/watch?v=KQmpB5USQOk
zH19CUbFcm4,https://www.youtube.com/watch?v=zH19CUbFcm4
YzigY1th5iU,https://www.youtube.com/watch?v=YzigY1th5iU
IEAIJDbM5fI,https://www.youtube.com/watch?v=IEAIJDbM5fI
k-1e2FY97ZU,https://www.youtube.com/watch?v=k-1e2FY97ZU
AHQfuXVBQfA,https://www.youtube.com/watch?v=AHQfuXVBQfA
JEennqZTfQA,https://www.youtube.com/watch?v=JEennqZTfQA
uqwsgjBAg_U,https://www.youtube.com/watch?v=uqwsgjBAg_U
nJSi6P4P15s,https://www.youtube.com/watch?v=nJSi6P4P15s
-CzTR7uG3cY,https://www.youtube.com/watch?v=-CzTR7uG3cY
NdpUnyf4bl8,https://www.youtube.com/watch?v=NdpUnyf4bl8
ilqSaeQ_Ebc,https://www.youtube.com/watch?v=ilqSaeQ_Ebc
YJWghp6tlYg,https://www.youtube.com/watch?v=YJWghp6tlYg
XMuChIgYnvE,https://www.youtube.com/watch?v=XMuChIgYnvE
h7fKAwWdGAg,https://www.youtube.com/watch?v=h7fKAwWdGAg
CRPuhATcQLs,https://www.youtube.com/watch?v=CRPuhATcQLs
wysbuR3E2kU,https://www.youtube.com/watch?v=wysbuR3E2kU
zhqn_P-FGqU,https://www.youtube.com/watch?v=zhqn_P-FGqU
UB2FNonsV-Q,https://www.youtube.com/watch?v=UB2FNonsV-Q
NSnUAr3HzfE,https://www.youtube.com/watch?v=NSnUAr3HzfE
MzAsfr0KWGk,https://www.youtube.com/watch?v=MzAsfr0KWGk
-KQrYs_bYgc,https://www.youtube.com/watch?v=-KQrYs_bYgc
W58iH9pnYBo,https://www.youtube.com/watch?v=W58iH9pnYBo
MrD9tCNpOvU,https://www.youtube.com/watch?v=MrD9tCNpOvU
SU-i6T_WNJo,https://www.youtube.com/watch?v=SU-i6T_WNJo
NesMt5cgT0s,https://www.youtube.com/watch?v=NesMt5cgT0s
VChl1eHNu3I,https://www.youtube.com/watch?v=VChl1eHNu3I
IWmlhoLFEjs,https://www.youtube.com/watch?v=IWmlhoLFEjs
Kdra4ed3Pm4,https://www.youtube.com/watch?v=Kdra4ed3Pm4
dKn8uZc06OM,https://www.youtube.com/watch?v=dKn8uZc06OM
Nm1wLiM6oSs,https://www.youtube.com/watch?v=Nm1wLiM6oSs
laEvtQCNB4k,https://www.youtube.com/watch?v=laEvtQCNB4k
XBi7C4KBdrQ,https://www.youtube.com/watch?v=XBi7C4KBdrQ
u5VBcgUxk4Q,https://www.youtube.com/watch?v=u5VBcgUxk4Q
rHPudifLnNA,https://www.youtube.com/watch?v=rHPudifLnNA
fRsFmCWL7Iw,https://www.youtube.com/watch?v=fRsFmCWL7Iw
fQEsm7BMqls,https://www.youtube.com/watch?v=fQEsm7BMqls
031dOwVKHCI,https://www.youtube.com/watch?v=031dOwVKHCI
yAjYm-eSxec,https://www.youtube.com/watch?v=yAjYm-eSxec
