name,id,Followers
@amazonwebservices,UCd6MoB9NC6uYN2grvUNT-Zg,815000
@awsdevelopers,UCT-nPlVzJI-ccQXlxjSvJmw,1750000
@MicrosoftAzure,UC0m-80FnNY2Qb7obvTL_2fA,345000
@googlecloudtech,UCJS9pqu9BzkAMNTmzNMNhvg,1260000
@AlibabaCloud,UCipPA-ZHX6UYGH_Iyti1-Jw,1850000
@IBMTechnology,UCKWaEZ-_VweaEx1j62do_vQ,1300000
