videoId,frames_analyzed,analysis_date,humanPresence,faceSum,Gender,Smile,motionMagnitude,motionDirection,Saturation,Brightness,video_id,method,performance
dKn8uZc06OM,25,2025-08-13 18:36:41,1.0,2.0,1.0,1.0,0.923,0.468,0.666,0.138,dKn8uZc06OM,yolo_production,"{'total_time': 2.6994240283966064, 'analysis_fps': 9.261234891966716, 'detection_fps': np.float64(46.136101874180305), 'gpu_used': True}"
laEvtQCNB4k,25,2025-08-13 18:36:43,1.0,2.0,0.0,1.0,0.859,0.458,0.626,0.304,laEvtQCNB4k,yolo_production,"{'total_time': 2.596604347229004, 'analysis_fps': 9.627958925155092, 'detection_fps': np.float64(44.495834479201775), 'gpu_used': True}"
XBi7C4KBdrQ,25,2025-08-13 18:36:43,1.0,1.0,0.5,1.0,0.437,0.451,0.547,0.257,XBi7C4KBdrQ,yolo_production,"{'total_time': 2.628519296646118, 'analysis_fps': 9.511058196110245, 'detection_fps': np.float64(51.92173928362106), 'gpu_used': True}"
rHPudifLnNA,25,2025-08-13 18:36:44,1.0,1.0,0.5,1.0,0.963,0.382,0.521,0.568,rHPudifLnNA,yolo_production,"{'total_time': 2.573101758956909, 'analysis_fps': 9.715900241012841, 'detection_fps': np.float64(46.60732147421022), 'gpu_used': True}"
u5VBcgUxk4Q,25,2025-08-13 18:36:44,1.0,1.0,0.0,1.0,0.481,0.552,0.582,0.478,u5VBcgUxk4Q,yolo_production,"{'total_time': 2.6260530948638916, 'analysis_fps': 9.519990303659778, 'detection_fps': np.float64(56.72623229030378), 'gpu_used': True}"
fRsFmCWL7Iw,25,2025-08-13 18:36:45,0.0,,,0.0,0.715,0.465,0.302,0.392,fRsFmCWL7Iw,yolo_production,"{'total_time': 2.0410940647125244, 'analysis_fps': 12.248333103413877, 'detection_fps': np.float64(49.00781864412721), 'gpu_used': True}"
fQEsm7BMqls,25,2025-08-13 18:36:45,0.0,,,0.0,0.544,0.561,0.215,0.862,fQEsm7BMqls,yolo_production,"{'total_time': 1.8648085594177246, 'analysis_fps': 13.406201871899441, 'detection_fps': np.float64(47.24837872218006), 'gpu_used': True}"
031dOwVKHCI,25,2025-08-13 18:36:46,0.0,,,0.0,0.71,0.508,0.225,0.596,031dOwVKHCI,yolo_production,"{'total_time': 2.0816690921783447, 'analysis_fps': 12.00959369283759, 'detection_fps': np.float64(45.34077288764749), 'gpu_used': True}"
yAjYm-eSxec,25,2025-08-13 18:36:46,0.0,,,0.0,0.665,0.467,0.233,0.623,yAjYm-eSxec,yolo_production,"{'total_time': 2.1452243328094482, 'analysis_fps': 11.653792854036515, 'detection_fps': np.float64(43.48697826008069), 'gpu_used': True}"
nBusvrDEjdk,25,2025-08-13 18:36:47,0.0,,,0.0,0.774,0.492,0.161,0.634,nBusvrDEjdk,yolo_production,"{'total_time': 2.161466360092163, 'analysis_fps': 11.566222108094257, 'detection_fps': np.float64(45.098979883435334), 'gpu_used': True}"
FXbRmfdLhkk,25,2025-08-13 18:36:47,0.0,,,0.0,0.966,0.559,0.145,0.947,FXbRmfdLhkk,yolo_production,"{'total_time': 1.9605128765106201, 'analysis_fps': 12.751765264860568, 'detection_fps': np.float64(46.648948617360425), 'gpu_used': True}"
ZSkEzvMx9ks,25,2025-08-13 18:36:48,0.0,,,0.0,0.854,0.526,0.133,0.702,ZSkEzvMx9ks,yolo_production,"{'total_time': 1.9329373836517334, 'analysis_fps': 12.933683321272227, 'detection_fps': np.float64(47.996655037052065), 'gpu_used': True}"
g2s8TuiQOEQ,25,2025-08-13 18:36:48,0.0,,,0.0,0.977,0.526,0.187,0.931,g2s8TuiQOEQ,yolo_production,"{'total_time': 2.002387762069702, 'analysis_fps': 12.485094282717537, 'detection_fps': np.float64(46.574557282502106), 'gpu_used': True}"
BZR-Hkuy320,25,2025-08-13 18:36:49,0.0,,,0.0,0.919,0.499,0.067,0.534,BZR-Hkuy320,yolo_production,"{'total_time': 2.0554511547088623, 'analysis_fps': 12.162779904901726, 'detection_fps': np.float64(44.90528629554122), 'gpu_used': True}"
eioiZdUl-HU,25,2025-08-13 18:36:50,1.0,3.0,1.0,1.0,0.893,0.504,0.308,0.505,eioiZdUl-HU,yolo_production,"{'total_time': 2.5834364891052246, 'analysis_fps': 9.677032938657133, 'detection_fps': np.float64(44.62695885807528), 'gpu_used': True}"
Od7tfE2iwWY,25,2025-08-13 18:36:51,1.0,2.0,1.0,1.0,0.83,0.562,0.333,0.381,Od7tfE2iwWY,yolo_production,"{'total_time': 2.6633944511413574, 'analysis_fps': 9.386518016243004, 'detection_fps': np.float64(46.87114421189084), 'gpu_used': True}"
ULuiRddnJLE,25,2025-08-13 18:36:51,1.0,2.0,0.5,1.0,0.756,0.476,0.333,0.494,ULuiRddnJLE,yolo_production,"{'total_time': 2.673731803894043, 'analysis_fps': 9.350227260486566, 'detection_fps': np.float64(46.87332647308366), 'gpu_used': True}"
H4Tt5C6IChE,25,2025-08-13 18:36:51,1.0,1.0,0.0,1.0,0.446,0.606,0.418,0.338,H4Tt5C6IChE,yolo_production,"{'total_time': 2.349031448364258, 'analysis_fps': 10.642684250740317, 'detection_fps': np.float64(55.27277787646678), 'gpu_used': True}"
