videoId,gender,score,confidence,male_detections,female_detections,faces_detected,frames_analyzed,analysis_date
0nJG5axbhk4,female,1.0,0.7,0,1,36,31,2025-08-05 21:30:44
9NfWmOrSsmI,unknown,,0.0,0,0,0,32,2025-08-05 21:31:01
