videoId,titleSentiment,titleTechnicality,descriptionSentiment,descriptionTechnicality,hashtagsDescription,URLDescription,scriptSentiment,scriptTechnicality,analysis_date
0li-2ssceM4,0.424,0.068,0.444,0.307,0.4,0.733,0.454,0.132,2025-08-13 18:19:47
Cf_Y8OUc7IA,0.516,0.257,0.346,0.35,0.5,0.733,0.633,0.036,2025-08-13 18:19:51
Pfv1U6y6HUc,0.399,0.41,0.403,0.382,1.0,0.733,0.566,0.155,2025-08-13 18:19:52
qX1wGXc3p1g,0.508,0.224,0.545,0.289,0.9,0.733,0.361,0.115,2025-08-13 18:19:54
nttCw-F9Bu4,0.611,0.263,0.553,0.345,0.3,0.733,0.348,0.146,2025-08-13 18:19:56
GOG1wLduF3Q,0.598,0.273,0.509,0.336,0.3,0.733,0.533,0.112,2025-08-13 18:20:03
EqkE7iLDxNk,0.405,0.411,0.408,0.375,1.0,0.733,0.552,0.161,2025-08-13 18:20:06
s6jrQSyjzGM,0.436,0.24,0.5,0.343,0.8,0.733,0.655,0.037,2025-08-13 18:20:06
15uEY1wTqVQ,0.648,0.214,0.529,0.318,0.8,0.733,0.455,0.099,2025-08-13 18:20:07
Xgyq1NTmBmU,0.483,0.432,0.395,0.349,1.0,0.733,0.656,0.193,2025-08-13 18:20:09
ZjZSe-3SXNs,0.665,0.26,0.631,0.297,0.3,0.733,0.607,0.103,2025-08-13 18:20:13
xBa_eYcdCZw,0.697,0.253,0.35,0.348,0.5,0.667,0.295,0.0,2025-08-13 18:20:15
Y5P9LVW_3cc,0.776,0.037,0.31,0.383,0.3,0.733,0.612,0.128,2025-08-13 18:20:15
EVAmEw8--6o,0.534,0.59,0.682,0.389,0.4,0.667,0.401,0.376,2025-08-13 18:20:16
Yhx2Xbyro2s,0.448,0.266,0.322,0.331,0.3,0.733,0.489,0.136,2025-08-13 18:20:19
-X3Z7vhx4oQ,0.714,0.202,0.335,0.446,0.8,0.267,0.312,0.256,2025-08-13 18:20:19
uUWsyhOm884,0.498,0.711,0.399,0.382,0.3,0.733,0.363,0.195,2025-08-13 18:20:20
SCJGrhKJQAI,0.511,0.34,0.569,0.32,0.3,0.733,0.433,0.293,2025-08-13 18:20:21
TQuYrXlCWM0,0.553,0.425,0.3,0.447,0.8,0.267,0.731,0.197,2025-08-13 18:20:25
t2-cz5OTl-0,0.486,0.25,0.471,0.352,0.5,0.667,0.41,0.142,2025-08-13 18:20:33
uAae-xpHgqU,0.611,0.025,0.442,0.36,0.7,0.933,0.742,0.24,2025-08-13 18:20:34
rZY7Ko_WuHU,0.442,0.217,0.605,0.398,0.8,0.867,0.58,0.112,2025-08-13 18:20:35
Skx4jxzpyIs,0.296,0.039,0.306,0.333,1.0,0.733,0.502,0.098,2025-08-13 18:20:36
zH19CUbFcm4,0.246,0.057,0.334,0.351,1.0,0.733,0.283,0.126,2025-08-13 18:20:41
AHQfuXVBQfA,0.299,0.498,0.336,0.449,0.0,0.067,0.687,0.321,2025-08-13 18:20:44
JEennqZTfQA,0.639,0.267,0.558,0.285,0.6,0.667,0.555,0.166,2025-08-13 18:20:51
KQmpB5USQOk,0.482,0.251,0.374,0.376,1.0,0.733,0.733,0.131,2025-08-13 18:20:52
Nc3oTP2eK30,0.496,0.255,0.288,0.346,1.0,0.733,0.3,0.098,2025-08-13 18:20:52
k-1e2FY97ZU,0.52,0.062,0.249,0.376,0.3,0.733,0.668,0.192,2025-08-13 18:20:57
YzigY1th5iU,0.573,0.271,0.4,0.317,1.0,0.733,0.297,0.127,2025-08-13 18:20:58
_pmV_HaQ2LQ,0.67,0.241,0.369,0.347,0.3,0.733,0.42,0.155,2025-08-13 18:21:00
ijgV5Ph9ALE,0.298,0.318,0.26,0.369,0.3,0.733,0.595,0.171,2025-08-13 18:21:00
IJUACC67KW0,0.5,0.26,0.446,0.339,0.3,0.667,0.227,0.24,2025-08-13 18:21:01
uqwsgjBAg_U,0.711,0.074,0.32,0.334,0.3,0.667,0.5,0.149,2025-08-13 18:21:01
JwWiUNUyjLE,0.618,0.222,0.461,0.289,0.3,0.667,0.427,0.127,2025-08-13 18:21:07
ilqSaeQ_Ebc,0.382,0.348,0.304,0.399,0.3,0.733,0.666,0.167,2025-08-13 18:21:10
h7fKAwWdGAg,0.562,0.223,0.398,0.332,0.5,0.733,0.35,0.156,2025-08-13 18:21:10
IEAIJDbM5fI,0.491,0.251,0.292,0.355,1.0,0.733,0.5,0.146,2025-08-13 18:21:11
M4JvqgmssGg,0.508,0.224,0.545,0.289,0.9,0.733,0.468,0.153,2025-08-13 18:21:16
-CzTR7uG3cY,0.638,0.497,0.346,0.435,0.3,0.733,0.664,0.309,2025-08-13 18:21:19
UB2FNonsV-Q,0.619,0.236,0.692,0.284,0.7,0.8,0.343,0.272,2025-08-13 18:21:25
wysbuR3E2kU,0.254,0.315,0.58,0.352,0.3,0.267,0.313,0.2,2025-08-13 18:21:26
-KQrYs_bYgc,0.645,0.257,0.308,0.336,0.3,0.733,0.335,0.118,2025-08-13 18:21:27
MzAsfr0KWGk,0.536,0.269,0.588,0.314,0.6,0.733,0.495,0.239,2025-08-13 18:21:28
W58iH9pnYBo,0.475,0.072,0.5,0.33,0.3,0.733,0.59,0.224,2025-08-13 18:21:32
XMuChIgYnvE,0.423,0.265,0.46,0.516,0.3,0.733,0.589,0.152,2025-08-13 18:21:33
SU-i6T_WNJo,0.574,0.664,0.389,0.398,0.4,0.667,0.343,0.297,2025-08-13 18:21:43
NdpUnyf4bl8,0.394,0.341,0.417,0.305,0.4,0.867,0.5,0.122,2025-08-13 18:21:45
zhqn_P-FGqU,0.353,0.257,0.376,0.317,0.5,0.733,0.432,0.19,2025-08-13 18:21:48
Nm1wLiM6oSs,0.469,0.239,0.262,0.352,0.3,0.733,0.759,0.318,2025-08-13 18:21:52
CRPuhATcQLs,0.24,0.234,0.36,0.399,0.8,0.267,0.379,0.154,2025-08-13 18:21:52
YJWghp6tlYg,0.467,0.663,0.705,0.364,1.0,0.733,0.25,0.173,2025-08-13 18:21:55
XBi7C4KBdrQ,0.608,0.072,0.638,0.248,0.9,0.733,0.5,0.061,2025-08-13 18:21:58
NesMt5cgT0s,0.498,0.66,0.32,0.41,0.6,0.933,0.478,0.308,2025-08-13 18:22:00
u5VBcgUxk4Q,0.608,0.072,0.638,0.248,0.9,0.733,0.518,0.043,2025-08-13 18:22:00
fQEsm7BMqls,0.434,0.071,0.304,0.25,0.0,0.067,0.699,0.197,2025-08-13 18:22:07
rHPudifLnNA,0.43,0.424,0.602,0.319,0.9,0.733,0.303,0.179,2025-08-13 18:22:12
MrD9tCNpOvU,0.415,0.275,0.515,0.299,0.3,0.667,0.621,0.148,2025-08-13 18:22:13
ZSkEzvMx9ks,0.564,0.392,0.355,0.613,0.0,0.067,0.415,0.253,2025-08-13 18:22:23
FXbRmfdLhkk,0.437,0.261,0.406,0.347,0.4,0.733,0.516,0.329,2025-08-13 18:22:24
g2s8TuiQOEQ,0.671,0.39,0.483,0.351,0.4,0.733,0.45,0.258,2025-08-13 18:22:37
nBusvrDEjdk,0.335,0.241,0.453,0.335,0.4,0.733,0.781,0.199,2025-08-13 18:22:40
031dOwVKHCI,0.342,0.407,0.472,0.357,0.4,0.733,0.397,0.198,2025-08-13 18:22:52
eioiZdUl-HU,0.608,0.275,0.459,0.413,0.3,0.733,0.359,0.304,2025-08-13 18:22:53
Od7tfE2iwWY,0.696,0.39,0.403,0.322,0.3,0.733,0.44,0.178,2025-08-13 18:22:54
IWmlhoLFEjs,0.405,0.63,0.423,0.401,0.3,0.733,0.463,0.125,2025-08-13 18:22:55
VChl1eHNu3I,0.417,0.625,0.427,0.4,0.3,0.733,0.347,0.113,2025-08-13 18:22:57
yAjYm-eSxec,0.235,0.258,0.438,0.327,0.3,0.733,0.432,0.187,2025-08-13 18:22:59
fRsFmCWL7Iw,0.32,0.059,0.549,0.327,0.4,0.733,0.538,0.133,2025-08-13 18:22:59
H4Tt5C6IChE,0.73,0.247,0.345,0.365,0.9,0.733,0.5,0.061,2025-08-13 18:23:01
Kdra4ed3Pm4,0.4,0.644,0.4,0.425,0.3,0.733,0.421,0.107,2025-08-13 18:23:01
ULuiRddnJLE,0.62,0.058,0.376,0.357,0.3,0.733,0.574,0.243,2025-08-13 18:23:04
nJSi6P4P15s,0.539,0.06,0.5,0.294,0.3,0.733,0.515,0.134,2025-08-13 18:23:08
DePM4moKvS4,0.453,0.251,0.44,0.344,0.5,0.667,0.488,0.173,2025-08-13 18:23:09
KlIhvcGxc0k,0.436,0.27,0.422,0.339,0.5,0.667,0.292,0.136,2025-08-13 18:23:11
veLGemX4kw8,0.477,0.253,0.437,0.332,0.5,0.667,0.705,0.131,2025-08-13 18:23:13
linTQJlB6io,0.438,0.267,0.424,0.334,0.5,0.667,0.723,0.135,2025-08-13 18:23:14
EPBruuVwC_g,0.376,0.248,0.383,0.342,0.4,0.667,0.5,0.145,2025-08-13 18:23:16
O3UzB60N4P0,0.436,0.268,0.453,0.337,0.5,0.667,0.248,0.163,2025-08-13 18:23:18
2XUhw51Z_ik,0.388,0.272,0.644,0.321,0.8,0.867,0.314,0.145,2025-08-13 18:23:19
IJhvBDhUE0Q,0.473,0.266,0.428,0.324,0.5,0.667,0.5,0.203,2025-08-13 18:23:19
